year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year,selection_ratio_bootstrap,selection_ratio_ci_low,selection_ratio_boot_median,selection_ratio_ci_high
1999,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,9961.896623076644,8391008.961085403,124,1071,168144.96720136944,117924534.4943592,0.05924588043807659,0.07115575225346155,0.8326225015096292,-0.2642655472455282,1.187210819256239,0.8326225015096309,0.6934491377177281,0.8305556706234873,1.0009836934261755
1999,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,2913.4808641919903,9934635.861145446,87,1024,168144.96720136944,117924534.4943592,0.017327196363259703,0.0842457076785888,0.20567453037923072,-2.281564945509823,0.2932649877572937,0.2056745303792309,0.1437253282427499,0.2042489644854243,0.2807637317874507
1999,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,238.49257588386536,7217359.441623239,27,883,168144.96720136944,117924534.4943592,0.0014183747503917143,0.06120320485105221,0.02317484441939856,-5.431296536193199,0.0330442979614476,0.023174844419398558,0.011625654257643383,0.022574086506715975,0.03855826942406945
2000,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,32350.271757701797,39975842.49976731,184,1138,114380.07726811896,119331187.13932775,0.2828313507943289,0.3349991184877147,0.8442749105463724,-0.24421525294181515,0.8092455276681186,0.8442749105463723,0.7215632543926593,0.8428585033509142,0.986856988818528
2000,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,46797.933340208205,36382578.78736138,182,1134,114380.07726811896,119331187.13932775,0.40914409622673115,0.3048874285050236,1.3419513498241522,0.42433237001821517,1.2862731257649311,1.3419513498241522,1.253101861951056,1.3416050537794049,1.4153742194631622
2000,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,25609.77575521469,17367832.319537207,154,1100,114380.07726811896,119331187.13932775,0.2239006684283197,0.14554311187115748,1.538380384683052,0.6214122726390566,1.4745522229855972,1.5383803846830524,1.3703225325111412,1.5376687415047734,1.7182029774126673
2000,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,7222.279617212333,8430301.939535465,122,1072,114380.07726811896,119331187.13932775,0.06314281114081212,0.0706462588836268,0.8937884629506729,-0.1619946723867885,0.8567047383370829,0.8937884629506736,0.7318069237813475,0.8968614691142854,1.0945790599802971
2000,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,2170.898032199635,9959212.912163043,83,1032,114380.07726811896,119331187.13932775,0.018979686708121567,0.08345859243430592,0.22741441180021515,-2.1366044106929425,0.21797887557442902,0.2274144118002152,0.15712121871887785,0.22914127628204392,0.30444566774353454
2000,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,228.91876558229035,7215418.680963344,29,888,114380.07726811896,119331187.13932775,0.002001386701686524,0.060465489818171535,0.03309965250765326,-4.917040118606791,0.03172633158298265,0.03309965250765328,0.018271863291016092,0.03243787797497828,0.05320950268010289
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,34990.69856513715,40568420.87955123,202,1138,119417.25993165969,120475131.4833871,0.29301207032519155,0.336736888186301,0.8701513870469739,-0.2006616751421126,0.8625107363440521,0.8701513870469746,0.7670843225000812,0.8669171574162424,0.9804321062715917
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,50270.20471789229,36768608.55529244,187,1133,119417.25993165969,120475131.4833871,0.42096263761755215,0.3051966667524463,1.3793159738504188,0.4639529874461874,1.367204435878943,1.379315973850417,1.3051377808060163,1.379336903243122,1.4488066738676881
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,25324.392574684294,17493042.706095323,163,1100,119417.25993165969,120475131.4833871,0.21206643486190338,0.14520044502717577,1.460508160441333,0.5464704191019443,1.4476836877474835,1.460508160441334,1.3194678158118935,1.4592041615147915,1.615041890577501
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,6752.665419313955,8469517.987315029,124,1072,119417.25993165969,120475131.4833871,0.05654681260630483,0.07030096487990081,0.8043532930580256,-0.3140987847880269,0.7972904041797373,0.8043532930580265,0.6432770413905938,0.8069530453725666,0.9726345220536041
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,1840.8463865654142,9976828.719120054,81,1031,119417.25993165969,120475131.4833871,0.015415245565162832,0.08281234970468414,0.18614669937678263,-2.425488059331639,0.1845121770044555,0.18614669937678263,0.12718757658274127,0.18697742098780934,0.2537885241880711
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,238.45226806659323,7198712.6360130245,27,890,119417.25993165969,120475131.4833871,0.0019967990238852836,0.05975268544949204,0.03341772857344035,-4.903242514041692,0.03312429320677245,0.03341772857344036,0.019352896867039157,0.03320031744030953,0.051125276285402595
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,79063.00704299702,41065028.856508896,247,1140,267844.7697796158,121406476.61985214,0.2951821949260033,0.3382441365553477,0.8726897616973234,-0.1964592231721747,1.925312345919985,0.8726897616973237,0.7827361505526529,0.8747624571112252,0.9646459867831174
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,117011.39730771103,37074523.50800391,252,1135,267844.7697796158,121406476.61985214,0.4368627298714426,0.30537517058576397,1.4305771128460185,0.5165972657995828,3.156113315453664,1.430577112846019,1.3636285949599594,1.429374118754627,1.4970530066088836
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,55064.45245065502,17593008.60485407,216,1103,267844.7697796158,121406476.61985214,0.20558345229575462,0.14490996769423828,1.4186977995160284,0.5045673099261381,3.1299053895456086,1.418697799516029,1.275627468075159,1.4157713971460064,1.5684721382376738
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,12907.714064180149,8501296.947636314,161,1073,267844.7697796158,121406476.61985214,0.0481910252524277,0.07002342201442488,0.6882129416997117,-0.5390730729803813,1.5183229269234015,0.6882129416997113,0.5610535927697262,0.6882015859108217,0.8259175002320032
