iteration,period,slope_bin,selection_ratio
15,post_law_pre_zae_2002_2008,06_09,1.307932903778076
15,post_law_pre_zae_2002_2008,09_12,0.6682111264305599
15,post_law_pre_zae_2002_2008,12_20,0.16796699362564527
15,post_law_pre_zae_2002_2008,gt_20,0.017459618001446013
15,post_zae_2020_2023,00_03,1.0292959145825127
15,post_zae_2020_2023,03_06,1.465299457347897
15,post_zae_2020_2023,06_09,1.06728147637656
15,post_zae_2020_2023,09_12,0.5039067421999773
15,post_zae_2020_2023,12_20,0.15324098978387657
15,post_zae_2020_2023,gt_20,0.03621795051388057
15,pre_law_1986_2001,00_03,0.8779596154295137
15,pre_law_1986_2001,03_06,1.3724758225081302
15,pre_law_1986_2001,06_09,1.4525796516819083
15,pre_law_1986_2001,09_12,0.8791011726495556
15,pre_law_1986_2001,12_20,0.23106897499761192
15,pre_law_1986_2001,gt_20,0.029416494652171516
15,zae_2009_2019,00_03,1.1195590786376144
15,zae_2009_2019,03_06,1.4065195693733075
15,zae_2009_2019,06_09,1.0220938872915069
15,zae_2009_2019,09_12,0.4593677086744334
15,zae_2009_2019,12_20,0.1256596704683428
15,zae_2009_2019,gt_20,0.02072839319640688
16,post_law_pre_zae_2002_2008,00_03,0.9411781799522786
16,post_law_pre_zae_2002_2008,03_06,1.3958168210902522
16,post_law_pre_zae_2002_2008,06_09,1.3006497423974996
16,post_law_pre_zae_2002_2008,09_12,0.6414590945526388
16,post_law_pre_zae_2002_2008,12_20,0.1702272941817357
16,post_law_pre_zae_2002_2008,gt_20,0.01939664076860226
16,post_zae_2020_2023,00_03,1.0123674643714498
16,post_zae_2020_2023,03_06,1.4437827727669672
16,post_zae_2020_2023,06_09,1.1049281028970859
16,post_zae_2020_2023,09_12,0.523969861118553
16,post_zae_2020_2023,12_20,0.16145979448370934
16,post_zae_2020_2023,gt_20,0.044619657449103914
16,pre_law_1986_2001,00_03,0.9122364499904184
16,pre_law_1986_2001,03_06,1.3617115185033675
16,pre_law_1986_2001,06_09,1.4095360245771338
16,pre_law_1986_2001,09_12,0.7848545242848641
16,pre_law_1986_2001,12_20,0.20202117063757957
16,pre_law_1986_2001,gt_20,0.024596030414059694
16,zae_2009_2019,00_03,1.110700353588161
16,zae_2009_2019,03_06,1.4091358621577257
16,zae_2009_2019,06_09,1.011751293880746
16,zae_2009_2019,09_12,0.4395447497078553
16,zae_2009_2019,12_20,0.128219167976573
16,zae_2009_2019,gt_20,0.023020064605508775
17,post_law_pre_zae_2002_2008,00_03,0.8919988681990609
17,post_law_pre_zae_2002_2008,03_06,1.4531176418160052
17,post_law_pre_zae_2002_2008,06_09,1.3567736293764276
17,post_law_pre_zae_2002_2008,09_12,0.662694812278576
17,post_law_pre_zae_2002_2008,12_20,0.16898091741628887
17,post_law_pre_zae_2002_2008,gt_20,0.02294910326640525
17,post_zae_2020_2023,00_03,0.9356537892023801
17,post_zae_2020_2023,03_06,1.4519935702749358
17,post_zae_2020_2023,06_09,1.2415706343060837
17,post_zae_2020_2023,09_12,0.6366753056682861
17,post_zae_2020_2023,12_20,0.2067488959552056
17,post_zae_2020_2023,gt_20,0.05567039473022834
17,pre_law_1986_2001,00_03,0.8497777814598005
17,pre_law_1986_2001,03_06,1.3890545258454563
17,pre_law_1986_2001,06_09,1.503038861883882
17,pre_law_1986_2001,09_12,0.8636226422713725
17,pre_law_1986_2001,12_20,0.22228032337628137
